time,uptime,mem_in_use,mem_rest_size,mem_rest_count,alloc_from_system,mmap_size,mmap_count
Sat Jan 31 09:49:09 2026,86641,6280950,2771210,2205,9052160,0,0
Sun Feb  1 09:49:19 2026,173051,6284036,2780412,2608,9064448,0,0
Tue Feb  3 11:37:00 2026,102413,6809151,2968001,2129,9777152,0,0
Thu Feb  5 03:37:08 2026,86642,6817682,2861166,2309,9678848,0,0
Sat Feb  7 09:10:05 2026,86640,6626657,2249375,2090,8876032,0,0
Sun Feb  8 09:10:15 2026,173050,6726585,2182215,1970,8908800,0,0
Thu Feb 12 09:09:56 2026,86641,6381362,2404558,1703,8785920,0,0
Wed Feb 18 08:58:22 2026,86640,6114593,2417375,3348,8531968,0,0
Thu Feb 19 08:58:32 2026,173050,6178153,2353815,2695,8531968,0,0
Fri Feb 20 08:58:52 2026,259460,6180572,2351396,2749,8531968,0,0
Sat Feb 21 08:59:03 2026,345871,6149282,2382686,2779,8531968,0,0
Sun Feb 22 08:59:13 2026,432281,6158282,2373686,3130,8531968,0,0
Mon Feb 23 08:59:23 2026,518691,6192491,2339477,2641,8531968,0,0
Tue Feb 24 08:59:43 2026,605101,6554831,1956657,1659,8511488,0,0
Wed Feb 25 08:59:54 2026,691512,6604454,1907034,1613,8511488,0,0
Fri Feb 27 03:30:04 2026,86641,6274235,3216197,3117,9490432,0,0
Wed Mar  4 02:09:36 2026,144917,6243564,3341076,4134,9584640,0,0
Thu Mar  5 06:54:18 2026,86643,6214262,2391434,2139,8605696,0,0
Sat Mar  7 08:06:08 2026,86640,6240438,4081482,4091,10321920,0,0
Sun Mar  8 08:06:18 2026,173050,6235565,4090451,3842,10326016,0,0
Thu Mar 12 07:56:19 2026,86642,6267950,2300882,2391,8568832,0,0
Fri Mar 13 07:56:29 2026,173052,6290272,2589856,2673,8880128,0,0
Sat Mar 14 07:56:39 2026,259462,6285254,2594874,2467,8880128,0,0
Sun Mar 15 07:56:50 2026,345873,6326349,2553779,2278,8880128,0,0
Mon Mar 16 07:57:00 2026,432283,6374181,2485467,2195,8859648,0,0
Tue Mar 17 07:57:10 2026,518693,6354817,2504831,2562,8859648,0,0
Sat Mar 21 14:32:31 2026,86643,6167968,2716256,2787,8884224,0,0
Sun Mar 22 14:32:41 2026,173053,6167161,2717063,2954,8884224,0,0
Tue Mar 24 09:05:02 2026,86640,6129507,2816157,2947,8945664,0,0
Sat Mar 28 08:51:49 2026,86638,6231578,2632166,2786,8863744,0,0
Sun Mar 29 08:52:00 2026,173049,6234860,2628884,2714,8863744,0,0
Mon Mar 30 08:52:10 2026,259459,6286457,2708359,2323,8994816,0,0
Fri Apr  3 02:25:28 2026,86640,6225887,2506785,2306,8732672,0,0
Sat Apr  4 02:25:39 2026,173051,6314193,2418479,2086,8732672,0,0
Sun Apr  5 02:25:49 2026,259461,6342413,2390259,2207,8732672,0,0
Mon Apr  6 02:25:59 2026,345871,6387196,2345476,1672,8732672,0,0
Tue Apr  7 02:26:10 2026,432282,6416014,2316658,1383,8732672,0,0
Wed Apr  8 02:26:30 2026,518692,6688642,2044030,1646,8732672,0,0
Thu Apr  9 10:11:45 2026,86641,6422426,3186790,2976,9609216,0,0
Fri Apr 10 10:11:55 2026,173051,6437475,3171741,2751,9609216,0,0
Sat Apr 11 10:12:06 2026,259462,6449271,3159945,2611,9609216,0,0
Sun Apr 12 10:12:16 2026,345872,6429876,3179340,2830,9609216,0,0
Mon Apr 13 10:12:26 2026,432282,6479250,3129966,2559,9609216,0,0
Tue Apr 14 10:12:37 2026,518693,6402583,3206633,2982,9609216,0,0
Fri Apr 17 06:22:20 2026,86639,6325361,2194319,2480,8519680,0,0
Sat Apr 18 07:47:03 2026,86639,6470180,3139036,3930,9609216,0,0
Sun Apr 19 07:47:13 2026,173049,6480534,3128682,3814,9609216,0,0
